race#,car1#,pos,time,car2#,pos,time,car3#,pos,time,car4#,pos,time,timestamp
1,1,,3.601,3,,3.386,20,,3.395,8,,4.657,
2,2,,9.999,4,,3.233,21,,3.522,9,,3.314,
3,3,,3.386,5,,9.999,22,,3.687,10,,3.228,
4,4,,3.232,6,,9.999,23,,3.439,11,,3.267,
5,5,,9.999,7,,4.371,24,,3.26,12,,3.193,
6,6,,9.999,8,,4.606,25,,3.281,13,,3.369,
7,7,,4.163,9,,3.221,26,,9.999,14,,3.409,
8,8,,4.483,10,,3.195,27,,3.418,15,,3.144,
9,9,,3.219,11,,3.273,28,,3.502,16,,3.311,
10,10,,3.223,12,,3.2,29,,3.861,17,,3.19,
11,11,,3.269,13,,3.398,30,,3.457,18,,3.314,
12,12,,3.219,14,,3.359,31,,3.16,19,,3.357,
13,13,,3.415,15,,3.139,32,,3.278,20,,3.414,
14,14,,3.371,16,,3.343,33,,3.177,21,,3.493,
15,15,,3.143,17,,3.24,34,,3.575,22,,3.49,
16,16,,3.196,18,,3.257,35,,3.358,23,,3.446,
17,17,,3.231,19,,3.423,36,,3.429,24,,3.245,
18,18,,3.247,20,,3.332,37,,3.935,25,,3.283,
19,19,,3.415,21,,3.522,38,,3.404,26,,9.999,
20,20,,3.359,22,,3.691,39,,3.883,27,,3.515,
21,21,,3.673,23,,3.434,40,,3.532,28,,3.478,
22,22,,4.155,24,,3.27,1,,3.581,29,,3.714,
23,23,,3.498,25,,3.308,2,,5.003,30,,3.483,
24,24,,3.288,26,,9.999,3,,3.343,31,,3.27,
25,25,,3.285,27,,3.728,4,,3.242,32,,3.268,
26,26,,9.999,28,,3.468,5,,9.999,33,,3.165,
27,27,,4.026,29,,3.762,6,,9.999,34,,3.527,
28,28,,3.485,30,,3.524,7,,4.149,35,,3.381,
29,29,,4.592,31,,3.178,8,,4.291,36,,3.483,
30,30,,3.547,32,,3.286,9,,3.195,37,,3.703,
31,31,,3.201,33,,3.179,10,,3.238,38,,3.386,
32,32,,3.304,34,,3.536,11,,3.23,39,,3.868,
33,33,,3.156,35,,3.368,12,,3.174,40,,3.415,
34,34,,3.547,36,,3.517,13,,3.376,1,,3.556,
35,35,,3.406,37,,3.83,14,,3.429,2,,4.556,
36,36,,3.485,38,,3.369,15,,3.165,3,,3.33,
37,37,,3.724,39,,3.677,16,,3.267,4,,3.237,
38,38,,3.376,40,,3.413,17,,3.179,5,,9.999,
39,39,,3.839,1,,3.566,18,,3.25,6,,9.999,
40,40,,3.502,2,,4.538,19,,3.407,7,,4.272,